
,Row start,Row end
Corners,9,11
Results,13,36
ck2qr,19,25
ck2qf,27,33

,Corners,corner1,corner2,corner3,corner4,corner5,corner6,corner7,corner8,corner9,corner10,corner11,corner12,corner13,corner14,corner15
Corners,Temp,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
,PVDD,0.4,0.4,0.4,0.45,0.45,0.45,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7
,clk_freq,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6

Results,Sigma target,,,,,,,,,,,,,,,
,Simulation budget,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Total analysis time (s),639,708,549,1320,1536,885,1104,1107,1253,1405,1130,1070,1644,1276,973
,Total number of simulation used,10000,10000,10000,20000,20000,16000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Effective number of simulation run,10000,10000,10000,20000,20000,16000,20000,20000,20000,20000,20000,20000,20000,20000,20000

ck2qr,Typical,3.090617819E-9,3.079886605E-9,3.095164875E-9,6.109543943E-10,6.086161186E-10,6.023637122E-10,1.729504862E-10,1.769022852E-10,1.754190757E-10,6.247874286E-11,5.540585211E-11,4.94689275E-11,3.69657406E-11,3.275443235E-11,3.03226668E-11
,LSL@Sigma,-inf,-inf,-inf,1.633604899E-10,1.817901084E-10,1.540911855E-10,8.340813966E-11,8.444897588E-11,7.537051418E-11,3.663949733E-11,3.279154424E-11,2.943605633E-11,2.270272661E-11,1.404708808E-11,1.480620746E-11
,Out Of Left Limit,0,0,0,12,2,19,7,5,17,2,2,3,3,1,0
,USL@Sigma,+inf,+inf,+inf,4.219008848E-9,8.227137812E-9,4.892010663E-9,1.653148566E-9,1.155368303E-9,1.54158339E-9,1.045678199E-10,9.535757614E-11,9.633917949E-11,6.227746544E-11,4.732901542E-11,4.109977977E-11
,Out Of right Limit,0,0,0,5,1,8,1,0,0,20,42,75,1,5,17
,Total Out Of Limits,0,0,0,17,3,27,8,5,17,22,44,78,4,6,17
,Total Measure Fails,3,48,926,0,0,1,0,0,0,0,0,0,0,0,0

ck2qf,Typical,5.818067609E-9,6.072149723E-9,,9.942562018E-10,1.026833246E-9,1.055726526E-9,2.286417938E-10,2.338427038E-10,2.400518787E-10,5.515483352E-11,4.747123959E-11,4.145449812E-11,3.068097311E-11,2.875441089E-11,2.304959931E-11
,LSL@Sigma,-inf,-inf,-inf,-5.378930887E-9,-5.222698833E-9,-inf,-4.911747572E-10,-5.015430204E-10,-6.822340229E-10,-1.160890781E-10,-4.559415023E-11,-2.327438101E-11,-6.461862761E-11,-4.094037782E-11,-2.876043619E-11
,Out Of Left Limit,0,0,0,2,3,0,7,8,7,3,8,14,10,3,2
,USL@Sigma,+inf,+inf,+inf,1.325312855E-8,1.429490301E-8,+inf,2.061190337E-9,2.405186141E-9,2.110586085E-9,2.300924232E-10,1.627177459E-10,1.511894231E-10,1.368429698E-10,9.592687901E-11,6.063393037E-11
,Out Of right Limit,0,0,0,52,33,0,56,39,70,3,20,27,2,0,4
,Total Out Of Limits,0,0,0,54,36,0,63,47,77,6,28,41,12,3,6
,Total Measure Fails,359,2441,3782,0,8,17,0,0,1,0,0,0,0,0,0

Warnings/Errors,Warnings number,0,0,1,5,5,3,5,5,5,5,5,5,5,5,5
,Errors number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
