
,Row start,Row end
Corners,9,11
Results,13,36
ck2qr,19,25
ck2qf,27,33

,Corners,corner1,corner2,corner3,corner4,corner5,corner6,corner7,corner8,corner9,corner10,corner11,corner12,corner13,corner14,corner15
Corners,Temp,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
,PVDD,0.4,0.4,0.4,0.45,0.45,0.45,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7
,clk_freq,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6

Results,Sigma target,,,,,,,,,,,,,,,
,Simulation budget,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Total analysis time (s),930,781,695,1157,1221,999,1160,1275,1280,1023,972,846,1107,1158,900
,Total number of simulation used,10000,6000,10000,20000,20000,14000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Effective number of simulation run,10000,6000,10000,20000,20000,14000,20000,20000,20000,20000,20000,20000,20000,20000,20000

ck2qr,Typical,6.534568439E-9,6.537439071E-9,6.631816506E-9,1.213477089E-9,1.208368609E-9,1.204198194E-9,3.412824834E-10,3.341982451E-10,3.312844814E-10,9.912761583E-11,7.924728328E-11,7.773434052E-11,4.774331787E-11,4.682675432E-11,4.082024883E-11
,LSL@Sigma,-inf,-6.995128537E-8,-inf,3.593631488E-10,3.537893463E-10,3.474928976E-10,1.509657753E-10,1.40739013E-10,1.328338634E-10,6.210349112E-11,4.882101773E-11,4.671017444E-11,3.204568762E-11,1.979176712E-11,2.401514937E-11
,Out Of Left Limit,0,1,0,30,24,24,72,5,3,2,1,4,1,0,1
,USL@Sigma,+inf,8.502608305E-9,+inf,9.33279264E-9,9.055769266E-9,+inf,1.730823101E-9,1.785093836E-9,1.869317962E-9,2.920726163E-10,1.766130699E-10,1.645416672E-10,1.589164301E-10,1.032085942E-10,6.877652501E-11
,Out Of right Limit,0,775,0,87,80,0,124,135,572,2,37,64,1,0,1
,Total Out Of Limits,0,776,0,117,104,24,196,140,575,4,38,68,2,0,2
,Total Measure Fails,23,96,2426,1,13,7,0,1,44,0,0,0,0,0,0

ck2qf,Typical,1.106578052E-8,2.281600178E-8,,1.869467676E-9,1.881873067E-9,1.890014804E-9,4.097171293E-10,4.199358609E-10,4.25517555E-10,1.184744894E-10,8.34326062E-11,7.173973385E-11,6.61924282E-11,6.991558973E-11,2.289374244E-11
,LSL@Sigma,-inf,-inf,-inf,-2.549219615E-9,-2.321430904E-9,-inf,-3.567050588E-10,-3.893480332E-10,-4.531265046E-10,-1.318828664E-10,-2.810860046E-11,-3.403292543E-12,-1.198178652E-10,-6.725147707E-11,-9.340457204E-12
,Out Of Left Limit,0,0,0,6,12,0,13,36,10,1,6,19,1,1,16
,USL@Sigma,+inf,+inf,+inf,3.048759852E-8,7.405058134E-8,+inf,4.305823492E-9,4.501575921E-9,4.780264781E-9,4.346853553E-10,2.747309007E-10,2.490100554E-10,2.932655183E-10,1.717466826E-10,9.219551243E-11
,Out Of right Limit,0,0,0,35,11,0,77,72,56,5,7,23,0,0,6
,Total Out Of Limits,0,0,0,41,23,0,90,108,66,6,13,42,1,1,22
,Total Measure Fails,450,2562,3747,5,28,44,0,2,6,0,0,0,0,0,0

Warnings/Errors,Warnings number,0,0,1,5,5,2,5,5,4,5,5,5,5,5,5
,Errors number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
