
,Row start,Row end
Corners,9,11
Results,13,36
ck2qr,19,25
ck2qf,27,33

,Corners,corner1,corner2,corner3,corner4,corner5,corner6,corner7,corner8,corner9,corner10,corner11,corner12,corner13,corner14,corner15
Corners,Temp,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
,PVDD,0.4,0.4,0.4,0.45,0.45,0.45,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7
,clk_freq,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6,10e6,20e6,40e6

Results,Sigma target,,,,,,,,,,,,,,,
,Simulation budget,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Total analysis time (s),1643,962,614,1224,1236,1095,1026,1131,955,1391,1194,1036,1311,1303,1084
,Total number of simulation used,16000,12000,10000,20000,20000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Effective number of simulation run,16000,12000,10000,20000,20000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000

ck2qr,Typical,3.687816875E-9,3.685224575E-9,3.686597334E-9,7.384678687E-10,7.426795982E-10,7.432556033E-10,2.599782376E-10,2.418408982E-10,2.324598735E-10,8.775985681E-11,7.735477923E-11,6.822809352E-11,5.459547931E-11,4.784688557E-11,4.021472867E-11
,LSL@Sigma,5.615516911E-10,-inf,-inf,1.711686273E-10,1.798128433E-10,1.714366252E-10,9.580389413E-11,8.554963161E-11,8.149876598E-11,4.779521741E-11,4.02683895E-11,3.680595165E-11,3.105064365E-11,2.58753719E-11,1.855592272E-11
,Out Of Left Limit,0,0,0,0,2,23,3,1,1,8,2,2,2,0,0
,USL@Sigma,+inf,+inf,+inf,1.447623189E-8,1.637063796E-8,+inf,2.541268202E-9,2.525252079E-9,2.459298988E-9,2.504211437E-10,2.187965139E-10,2.022406203E-10,8.86559842E-11,9.186496182E-11,7.987802097E-11
,Out Of right Limit,0,0,0,61,36,0,68,58,52,10,5,26,6,5,0
,Total Out Of Limits,0,0,0,61,38,23,71,59,53,18,7,28,8,5,0
,Total Measure Fails,8,72,503,6,33,5,0,0,2,0,0,0,0,0,0

ck2qf,Typical,7.625626619E-10,7.643770613E-10,7.649098315E-10,1.915068294E-10,1.849370647E-10,1.853263975E-10,1.33815303E-10,8.273922157E-11,7.257576838E-11,6.197963953E-11,4.241463409E-11,3.960108386E-11,5.292723182E-11,3.544399885E-11,1.710688397E-11
,LSL@Sigma,-inf,-inf,-inf,-1.013826149E-9,-inf,-9.975579365E-10,-1.582560745E-10,-6.422135379E-11,-1.648657937E-10,-1.154884456E-10,-5.015144622E-11,-2.917440592E-11,-8.61117995E-11,-4.655874214E-11,-2.134537497E-11
,Out Of Left Limit,0,0,0,24,0,8,1,19,12,1,2,1,1,5,8
,USL@Sigma,+inf,+inf,+inf,3.214498354E-9,3.32261101E-9,+inf,5.233233829E-10,5.696443764E-10,5.548391479E-10,2.85654796E-10,1.869031236E-10,1.242830149E-10,1.842698908E-10,1.206630394E-10,7.822601216E-11
,Out Of right Limit,0,0,0,95,39,0,0,101,99,0,0,1,1,0,1
,Total Out Of Limits,0,0,0,119,39,8,1,120,111,1,2,2,2,5,9
,Total Measure Fails,23,51,420,6,10,33,0,3,3,0,0,0,0,0,0

Warnings/Errors,Warnings number,2,0,0,5,4,3,5,5,5,5,5,5,5,5,5
,Errors number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
